code,shares
2524,365983545
2527,270306000
2528,435996467
2530,841255731
2534,474227970
2535,270793967
2536,332808652
2537,300557795
2538,445025495
2539,1193102581
2540,944873965
2542,2153083539
2543,528541961
2545,379734808
2546,146187097
2547,1035094649
2548,335704631
2596,100000000
2597,310716000
2601,824776067
2603,2165042996
2605,585353297
2606,845055712
2607,533570547
2608,467000498
2609,3492104270
2610,6119964937
2611,189002272
2612,197484593
2613,148423458
2614,327264946
2615,2806146293
2616,137281827
2617,417294487
2618,5400444335
2630,209438204
2633,5628293058
2634,941867101
2636,141835230
2637,746409199
2640,59264956
2641,330333744
2642,95467000
2643,35000000
2645,374570962
2646,3008735000
2701,449967838
2702,156613249
2704,366923343
2705,191312830
2706,499998346
2707,127403238
2712,105000000
2718,87576000
2719,69182500
2722,143169696
2723,180000000
2724,59656345
2726,37922454
2727,82940109
2729,43040783
2731,93277739
2732,46518570
2734,57259760
2736,79972230
2739,91526000
2740,16762016
2743,46815210
2745,33808526
2748,105778740
2751,19844500
2752,26693861
2753,66644796
2754,46907000
2755,46792491
2756,24597584
2762,112500000
2801,12060197409
2812,6425074858
2816,223608000
2820,1342960000
2832,253540280
2834,10398326179
2836,1858316153
2838,4340551779
2845,4865284731
2849,1957609349
2850,315963300
2851,800388750
2852,301163784
2855,1601414478
2880,13916965089
2881,14007364952
2882,14669210128
2883,16974847040
2884,16192000000
2885,13331149946
2886,14833378282
2887,25115061997
2889,3633563471
2890,14782168721
2891,19675932806
2892,14379468650
2897,2805357878
2901,73043283
2903,1416940589
2904,77834432
2905,1110371703
2906,209116648
2908,509887558
2910,175403000
2911,105125999
2912,1039622255
2913,790000000
2915,1104318772
2916,64626878
2923,1740296982
2924,52035934
2926,47389650
2929,109493838
2937,47896173
2939,45548665
2945,67500000
2947,23642366
2948,32000000
3002,102000000
3003,155654890
3004,64365055
3005,624310150
3006,298127841
3008,130798197
3010,259436817
3011,129600851
3013,205138930
3014,165954124
3015,187261950
3016,290356903
3017,392543007
3018,75377715
3019,279243901
3021,94890000
3022,176597790
3023,240069014
3024,277157496
3025,56736440
3026,165890318
3027,129160299
3028,237241193
3029,167005212
3030,236216000
3031,173203224
3032,113285626
3033,516559448
3034,608511469
3035,260550313
3036,1270562701
3037,1638872956
3038,157407603
3040,66224538
3041,140223647
3042,342992971
3043,38975634
3044,525605898
3045,3723431015
3046,78448013
3047,224761608
3048,269829794
3049,802010529
3050,154984450
3051,167000000
3052,233245771
3054,80651041
3055,114974918
3056,480555051
3057,67864629
3058,201722779
3059,307668025
3060,137563190
3062,330081818
3066,83070612
3071,110000000
3073,39511028
3078,227391064
3081,101769004
3083,86486858
3085,69019288
3086,272710510
3088,111071218
3090,287567150
3092,106649250
3093,145155576
3094,83117089
3105,423940384
3114,65129792
3122,40771918
3128,50156538
3130,33190700
3131,29903550
3135,90071491
3138,51732426
3141,75460728
3147,43686831
3149,226233604
3150,44377001
3152,39016200
3158,30633175
3162,154341112
3163,94635370
3164,86010364
3167,89513491
3168,75099649
3169,63306981
3171,33118158
3176,139306755
3178,45050000
3188,189087767
3189,526910360
3191,43597381
3205,67545631
3206,58916621
3207,66422124
3209,235391189
3211,154387021
3213,58685547
3217,90104203
3218,84724899
3219,71780880
3221,105062110
3224,78172648
3226,64430573
3227,151938122
3228,71937495
3229,64263000
3230,86010900
3231,3180052250
3232,46567865
3234,126474692
3236,105000613
3252,50195754
3257,79823590
3259,72965934
3260,333809875
3264,490170076
3265,136261659
3266,352314309
3268,34720796
3272,61176789
3276,69712666
3284,108482473
3285,42735324
3287,43970483
3288,16380000
3289,86746371
3290,90215034
3293,281801560
3294,132015919
3296,96724450
3297,36049445
3303,94090607
3305,143373974
3306,50607702
3308,60000000
3310,74948402
3311,100000000
3312,182626815
3313,221133831
3317,90000000
3321,86113769
3322,137582157
3323,99593385
3324,93076837
3325,110168610
3332,48104246
3338,87908141
3339,66568300
3346,121228352
3349,46071648
3354,70112426
3356,68550422
3357,116385739
3360,76402244
3362,147445475
3363,113640567
3372,235324000
3373,47618782
3374,271364316
3376,195763822
3379,38041748
3380,541718460
3388,77752824
3390,79329659
3402,73047692
3406,112743063
3413,110762280
3416,80496129
3419,120480417
3430,33716085
3432,42230000
3434,35754740
3437,144548000
3438,47165815
3441,40039920
3443,134011911
3444,44996877
3447,77449120
3450,145681382
3455,59850750
3465,42329862
3466,77892073
3467,31106569
3479,72631993
3481,7989197337
3483,99049257
3484,78828189
3485,38500850
3489,90452155
3490,55006435
3491,68805125
3492,35531600
3494,94800000
3498,61273008
3499,54970596
3501,118257927
3504,114059785
3508,104311737
3511,79972945
3512,113072372
3515,123544049
3516,59560874
3518,102467230
3520,68846778
3521,185765552
3522,104096209
3523,64257868
3526,66839477
3527,44445125
3528,66639216
3529,74686492
3530,77475900
3531,61175011
3532,387848300
3533,112534691
3535,79052356
3537,56242979
3540,84458548
3541,56349142
3543,110263150
3545,222411350
3546,61348690
3548,67744175
3550,107550000
3551,62274890
3552,97918334
3555,39998797
3556,63702844
3557,84315435
3558,59060881
3563,63960858
3564,59123100
3567,33954000
3570,17097000
3576,1627795375
3577,63965653
3580,39470657
3581,51006000
3583,83858644
3587,71684696
3588,61991182
3591,130386835
3592,75855226
3593,60825449
3594,95948358
3596,220354321
3597,39236440
3605,174697441
3607,121662239
3609,38419387
3611,47554634
3615,68466976
3617,94766049
3622,151327600
3623,29185946
3624,117340842
3625,114246765
3628,45000000
3629,32954782
3630,204191848
3631,81820909
3632,40889738
3645,136754207
3646,39297371
3652,75097500
3653,146732803
3661,86270239
3663,108494074
3664,75945377
3665,199578405
3666,138949850
3669,92919950
3672,40790375
3673,406663759
3675,53057923
3679,63022229
3680,96154998
3684,30304737
3685,79574000
3686,76495118
3687,30124059
3689,89508815
3691,91883420
3693,42990694
3694,154890708
3701,236668883
3702,1683620699
3703,823215980
3704,415444970
3705,266422983
3706,1327212468
3707,400484353
3708,92105384
3709,145569450
3710,287250734
3711,4470572282
3712,246242146
3713,88099380
3714,737940460
3715,283574584
3716,150579211
3717,207845445
4102,42373443
4104,188367456
4105,248649959
4106,100911557
4107,69298336
4108,198618879
4109,118736681
4111,59832135
4113,231138137
4114,550429688
4116,44566000
4119,119508634
4120,86747119
4121,83111045
4123,807456341
4126,72600000
4127,45760000
4128,588170597
4129,96437650
4131,39879000
4133,60553594
4137,82492350
4138,39930000
4139,45009911
4142,429507750
4147,273202425
4148,67235701
4153,58668197
4155,144684164
4157,711833575
4160,26690334
4161,59808204
4162,145677640
4163,50679643
4164,195310989
4166,243035089
4167,331554307
4168,112521318
4169,66431612
4171,58057469
4173,74574355
4174,131579687
4175,42323307
4178,215866981
4183,23800000
4188,63332900
4190,61445957
4192,35164500
4195,80000057
4198,24108000
4205,97649228
4207,198538008
4303,132447444
4304,61038065
4306,676757216
4401,122692012
4402,67991830
4406,51912000
4413,31314689
4414,263795773
4416,73586213
4417,83971399
4419,169163133
4420,40455000
4426,172677198
4430,56273609
4432,50589000
4433,61299774
4438,113425455
4439,38116201
4440,67598000
4441,68175578
4442,32341344
4502,57469686
4503,78313326
4506,177012000
4510,108977724
4513,143761921
4523,64949000
4526,254826461
4527,76152370
4528,84165695
4529,84549096
4530,35794959
4532,494895105
4533,178434110
4534,86788948
4536,90820000
4538,59469604
4540,115186724
4541,67647068
4542,35254258
4543,62760915
4545,77000000
4549,57002445
4550,37838783
4551,115222498
4552,116000000
4554,30276584
4555,69987653
4556,42302840
