rule,year,return_pct,mdd
buyhold,2023,8.087688944237392,-1.6035184621656429
buyhold,2024,28.46658907210573,-18.692678934794284
buyhold,2025,25.73681034595041,-26.710590912442967
buyhold,2026,65.64437915176296,-16.35518021947776
price,2023,8.087688944237392,-1.6035184621656429
price,2024,15.946106566785456,-13.578546758062204
price,2025,28.236108835761197,-8.003178765135354
price,2026,64.95925490468555,-9.32971221666612
breadth,2023,5.790200217127817,-1.6035184621656207
breadth,2024,14.164502931136468,-10.355988352043466
breadth,2025,1.658082766870761,-13.523297996865114
breadth,2026,9.868398393644394,-11.084295406659761
volatility,2023,8.087688944237392,-1.6035184621656429
volatility,2024,21.35746612214198,-14.011688132650345
volatility,2025,19.78308842601024,-19.7420780227768
volatility,2026,52.39411332004353,-16.355180219477738
combined,2023,8.087688944237392,-1.6035184621656429
combined,2024,12.004569888359672,-14.32082373772785
combined,2025,17.85084794824796,-15.742482475694242
combined,2026,48.8977789084297,-11.540990856078093
