rule,name,total,mdd,exposure,turnover,trades,matched_total,matched_mdd,july_return,july_mdd
buyhold,全程持有,189.20484676626148,-28.693158639001272,100.0,1.9990009990009991,2,,,-6.517291474574705,-15.069847310629159
price,價格連弱3日,165.10591554064882,-17.884166260784706,81.05413105413105,31.98401598401598,32,138.3193778109677,-23.792361295072617,-1.4549096592348931,-3.539803811183484
breadth,全市場多數弱勢,34.89356660112759,-20.679649029331905,48.717948717948715,33.98301698301698,34,69.86793884567074,-14.859848663892905,-7.808077781012901,-9.717967144764295
volatility,放大波動破低,139.4453619122677,-22.130080816233843,94.30199430199431,11.994005994005995,12,172.95591183665982,-27.244621230725397,-6.5172914745746935,-15.069847310629147
combined,三項至少兩項,112.43834282336005,-25.43818655818705,86.18233618233619,31.98401598401598,32,151.22487124685554,-25.14280428998754,-7.808077781012901,-9.717967144764295
